employee_seniority_years,is_contractor,employee_classification,has_foreign_citizenship,has_criminal_record,has_medical_history,total_printed_pages,num_printed_pages_off_hours,total_files_burned,burned_from_other,is_abroad,trip_day_number,hostility_country_level,num_entries,num_unique_campus,late_exit_flag,entry_during_weekend,Actual,Predicted,Risk_Level
24,0,3,0,0,0,31,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
8,0,1,0,0,1,7,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
2,0,3,0,0,0,0,0,0,0,0,0.0,0,3,1,0,0,1,1,High
19,1,2,1,0,0,0,0,102,0,0,0.0,0,1,3,0,0,1,1,High
3,0,2,1,0,0,32,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
8,0,1,1,1,0,101,35,0,0,0,0.0,0,3,1,0,0,1,1,High
11,1,2,0,0,0,32,0,19,0,0,0.0,0,0,0,0,0,0,0,Low
10,0,2,0,0,0,2,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
2,0,2,0,0,1,0,0,0,0,1,5.0,3,0,0,0,0,1,1,High
7,0,3,1,0,0,7,0,83,0,0,0.0,0,0,0,0,0,1,1,High
1,0,1,0,0,0,20,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
11,0,1,0,0,0,52,0,0,0,0,0.0,0,2,1,0,0,1,1,High
21,0,4,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,1,High
31,0,3,1,0,0,0,0,0,0,1,6.0,1,0,0,0,0,1,1,High
1,0,3,0,0,0,0,0,4,0,0,0.0,0,1,1,0,1,1,1,High
7,0,2,0,0,0,9,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
4,0,4,0,0,0,44,0,0,0,0,0.0,0,0,0,0,0,1,1,High
0,1,2,0,0,1,0,0,9,0,0,0.0,0,1,1,0,0,0,0,Low
13,0,1,0,0,0,99,0,0,0,0,0.0,0,0,0,0,0,1,1,High
3,0,2,1,0,0,50,28,0,0,0,0.0,0,1,1,0,0,1,1,High
8,1,2,0,0,0,16,0,0,0,0,0.0,0,1,1,0,1,1,1,High
6,0,2,0,0,0,241,0,0,0,0,0.0,0,1,1,0,1,1,1,High
14,0,1,0,0,0,17,4,0,0,0,0.0,0,0,0,0,0,0,0,Low
9,1,3,0,0,0,8,0,85,0,0,0.0,0,1,1,0,0,1,1,High
5,0,2,0,1,0,0,0,15,0,0,0.0,0,0,0,0,0,1,1,High
2,0,3,0,0,0,0,0,102,0,0,0.0,0,2,1,0,0,1,1,High
6,1,2,1,0,0,22,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
1,1,2,1,0,0,0,0,3,0,0,0.0,0,0,0,0,0,1,1,High
23,0,1,0,0,0,119,0,89,1,0,0.0,0,1,1,0,0,1,1,High
26,0,3,0,0,0,0,0,81,0,0,0.0,0,1,1,0,0,1,1,High
5,0,1,0,0,0,17,5,20,0,0,0.0,0,1,1,0,0,0,0,Low
17,0,2,0,0,0,0,0,124,0,0,0.0,0,2,1,0,0,1,1,High
18,0,2,0,0,0,0,0,111,0,0,0.0,0,1,1,0,0,1,1,High
24,0,2,0,0,0,0,0,82,0,0,0.0,0,1,3,0,1,1,1,High
6,0,2,0,0,0,0,0,87,1,0,0.0,0,0,0,0,0,1,1,High
18,0,3,0,0,0,7,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
5,0,1,0,0,1,22,0,0,0,0,0.0,0,1,1,0,1,0,0,Low
15,0,2,0,0,0,46,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
13,0,3,0,0,0,0,0,47,0,0,0.0,0,0,0,0,0,1,1,High
10,0,1,1,0,1,62,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
8,0,2,0,1,0,8,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
9,0,1,0,0,0,0,0,0,0,1,6.0,0,0,0,0,0,0,0,Low
2,0,3,0,0,0,0,0,95,0,0,0.0,0,2,1,0,0,1,1,High
16,0,3,0,0,1,0,0,92,1,0,0.0,0,1,2,0,0,1,1,High
